Date,Close,Market Return,Short MA,Long MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Buy Hold Growth,Strategy Growth
2018-09-28,10930.4501953125,-0.004290539347394984,11335.21748046875,11344.85697265625,0,1.0,0.0,0.0,-0.004290539347394984,2.089073389260795,1.2766589144927303
2018-10-01,11008.2998046875,0.007122269255513958,11301.79248046875,11344.86197265625,0,0.0,1.0,0.0005,-0.0005,2.1039523324336398,1.276020585035484
2018-10-03,10858.25,-0.01363060666494631,11260.67998046875,11342.41796875,0,0.0,0.0,0.0,-0.0,2.0752741857484405,1.276020585035484
2018-10-04,10599.25,-0.023852830796859514,11211.525,11335.2609765625,0,0.0,0.0,0.0,-0.0,2.0257730217386927,1.276020585035484
2018-10-05,10316.4501953125,-0.026681114672028716,11151.33251953125,11321.3859765625,0,0.0,0.0,0.0,-0.0,1.9717231394461805,1.276020585035484
2018-10-08,10348.0498046875,0.003063031253653259,11094.8875,11306.65197265625,0,0.0,0.0,0.0,0.0,1.9777625890458554,1.276020585035484
2018-10-09,10301.0498046875,-0.004541918611438267,11033.094970703125,11289.98697265625,0,0.0,0.0,0.0,-0.0,1.9687797523336616,1.276020585035484
2018-10-10,10460.099609375,0.015440154906845027,10976.644970703124,11276.54896484375,0,0.0,0.0,0.0,0.0,1.9991780166871533,1.276020585035484
2018-10-11,10234.650390625,-0.021553257346415555,10916.472509765625,11257.8959765625,0,0.0,0.0,0.0,-0.0,1.9560892184121985,1.276020585035484
2018-10-12,10472.5,0.02323964183406524,10875.722509765625,11241.778984375,0,0.0,0.0,0.0,0.0,2.0015480312435745,1.276020585035484
2018-10-15,10512.5,0.003819527333492445,10832.852490234374,11225.63798828125,0,0.0,0.0,0.0,0.0,2.0091929986582073,1.276020585035484
2018-10-16,10584.75,0.006872770511296089,10786.32998046875,11210.20298828125,0,0.0,0.0,0.0,0.0,2.023001721050888,1.276020585035484
2018-10-17,10453.0498046875,-0.012442447418455793,10740.094970703125,11192.33998046875,0,0.0,0.0,0.0,-0.0,1.9978306285092668,1.276020585035484
2018-10-19,10303.5498046875,-0.014302046081609565,10691.32744140625,11173.51697265625,0,0.0,0.0,0.0,-0.0,1.9692575627970763,1.276020585035484
2018-10-22,10245.25,-0.0056582251546914986,10641.8724609375,11151.2059765625,0,0.0,0.0,0.0,-0.0,1.9581150601191915,1.276020585035484
2018-10-23,10146.7998046875,-0.009609350217173795,10592.057470703125,11126.39998046875,0,0.0,0.0,0.0,-0.0,1.9392988467409837,1.276020585035484
2018-10-24,10224.75,0.007682244334463961,10554.924951171875,11103.1059765625,0,0.0,0.0,0.0,0.0,1.9541970143191922,1.276020585035484
2018-10-25,10124.900390625,-0.009765481735494741,10507.7974609375,11076.603984375,0,0.0,0.0,0.0,-0.0,1.9351133390682997,1.276020585035484
2018-10-26,10030.0,-0.0093729702973544,10456.607470703126,11047.78998046875,0,0.0,0.0,0.0,-0.0,1.9169755792191983,1.276020585035484
2018-10-29,10250.849609375,0.022018904224825553,10420.2724609375,11024.21697265625,0,0.0,0.0,0.0,0.0,1.9591852808993553,1.276020585035484
2018-10-30,10198.400390625,-0.005116572845048073,10383.669970703126,11001.06998046875,0,0.0,0.0,0.0,-0.0,1.9491609666926877,1.276020585035484
2018-10-31,10386.599609375,0.01845379780568379,10352.5849609375,10980.09998046875,0,0.0,0.0,0.0,0.0,1.9851303890627656,1.276020585035484
2018-11-01,10380.4501953125,-0.0005920526730374132,10328.694970703125,10960.00798828125,0,0.0,0.0,0.0,-0.0,1.9839550873095932,1.276020585035484
2018-11-02,10553.0,0.01662257430466929,10326.382470703125,10941.65298828125,0,0.0,0.0,0.0,0.0,2.0169335281655236,1.276020585035484
2018-11-05,10524.0,-0.0027480337344830685,10336.7599609375,10921.09798828125,0,0.0,0.0,0.0,-0.0,2.0113909267899146,1.276020585035484
2018-11-06,10530.0,0.0005701254275940482,10345.857470703126,10900.27998046875,0,0.0,0.0,0.0,0.0,2.0125376719021095,1.276020585035484
2018-11-07,10598.400390625,0.006495763592117676,10360.725,10880.59298828125,0,0.0,0.0,0.0,0.0,2.0256106408390164,1.276020585035484
2018-11-09,10585.2001953125,-0.0012454893970770264,10366.980029296876,10861.155,0,0.0,0.0,0.0,-0.0,2.023087764263245,1.276020585035484
2018-11-12,10482.2001953125,-0.009730567027500525,10379.35751953125,10836.96,0,0.0,0.0,0.0,-0.0,2.0034019731705652,1.276020585035484
2018-11-13,10582.5,0.009568583199961456,10384.85751953125,10813.84,0,0.0,0.0,0.0,0.0,2.022571691633815,1.276020585035484
2018-11-14,10576.2998046875,-0.0005858913595558901,10388.047509765625,10791.52798828125,0,0.0,0.0,0.0,-0.0,2.0213866843556043,1.276020585035484
2018-11-15,10616.7001953125,0.0038198983927342223,10389.64501953125,10770.32599609375,0,0.0,0.0,0.0,0.0,2.0291081761022687,1.276020585035484
2018-11-16,10682.2001953125,0.006169525256907837,10401.1025390625,10750.36,0,0.0,0.0,0.0,0.0,2.04162681024373,1.276020585035484
2018-11-19,10763.400390625,0.0076014485618920435,10424.095068359375,10733.981015625,0,0.0,0.0,0.0,0.0,2.057146131424377,1.276020585035484
2018-11-20,10656.2001953125,-0.009959695953136949,10444.642578125,10716.6990234375,0,0.0,0.0,0.0,-0.0,2.0366575814242185,1.276020585035484
2018-11-21,10600.0498046875,-0.00526926949530282,10467.305078125,10699.161015625,0,0.0,0.0,0.0,-0.0,2.0259258837580427,1.276020585035484
2018-11-22,10526.75,-0.006915043423200262,10482.405078125,10678.9580078125,0,0.0,0.0,0.0,-0.0,2.0119165182996706,1.276020585035484
2018-11-26,10628.599609375,0.009675313783931383,10507.5900390625,10659.7480078125,0,0.0,0.0,0.0,0.0,2.0313824419212945,1.276020585035484
2018-11-27,10685.599609375,0.0053628890065369195,10540.37001953125,10644.6980078125,0,0.0,0.0,0.0,0.0,2.0422765204871465,1.276020585035484
2018-11-28,10728.849609375,0.004047503329813518,10564.27001953125,10633.525,0,0.0,0.0,0.0,0.0,2.0505426415042183,1.276020585035484
2018-11-29,10858.7001953125,0.012102936537020215,10597.285009765625,10623.30099609375,0,0.0,0.0,0.0,0.0,2.0753602289607977,1.276020585035484
2018-11-30,10876.75,0.001662243580064171,10621.792529296876,10610.5319921875,1,0.0,0.0,0.0,0.0,2.0788099831777083,1.276020585035484
2018-12-03,10883.75,0.000643574597191332,10646.95751953125,10600.6519921875,1,1.0,1.0,0.0005,0.00014357459719133202,2.0801478524752692,1.2762037891769884
2018-12-04,10869.5,-0.0013092913747559942,10662.78251953125,10592.463984375,1,1.0,0.0,0.0,-0.0013092913747559942,2.077424332833806,1.2745328665633882
2018-12-05,10782.900390625,-0.007967211865771207,10675.7275390625,10583.435,1,1.0,0.0,0.0,-0.007967211865771207,2.0608730530390105,1.264378393185589
2018-12-06,10601.150390625,-0.01685539079615528,10679.28505859375,10572.596015625,1,1.0,0.0,0.0,-0.01685539079615528,2.0261362323487724,1.243066801254231
2018-12-07,10693.7001953125,0.008730166187373989,10684.050048828125,10567.12201171875,1,1.0,0.0,0.0,0.008730166187373989,2.043824738375437,1.2539189810111877
2018-12-10,10488.4501953125,-0.019193543511718203,10679.212548828125,10555.54201171875,1,1.0,0.0,0.0,-0.019193543511718203,2.004596499329102,1.2298518324889802
2018-12-11,10549.150390625,0.005787336945131116,10682.56005859375,10545.4490234375,1,1.0,0.0,0.0,0.005787336945131116,2.0161977747097497,1.236969399436181
2018-12-12,10737.599609375,0.01786392380162427,10690.3150390625,10540.65001953125,1,1.0,0.0,0.0,0.01786392380162427,2.052214978126169,1.25906652653265
2018-12-13,10791.5498046875,0.005024418610784842,10701.0775390625,10537.87201171875,1,1.0,0.0,0.0,0.005024418610784842,2.0625261652555977,1.2653926038207768
2018-12-14,10805.4501953125,0.001288081033454791,10710.5150390625,10533.81501953125,1,1.0,0.0,0.0,0.001288081033454791,2.0651828660900677,1.2670225320336324
