Date,Close,Daily Return,Fast MA,Slow MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Strategy Growth,Buy Hold Growth
2012-08-14,5380.35009765625,0.006067838947074966,5341.92001953125,5198.05,1,1.0,0.0,0.0,0.006067838947074966,0.9811768045188559,1.0283150293974734
2012-08-16,5362.9501953125,-0.0032339721445505676,5346.91005859375,5205.367001953125,1,1.0,0.0,0.0,-0.0032339721445505676,0.9780037060641628,1.0249894872365792
2012-08-17,5366.2998046875,0.0006245833455489347,5355.57998046875,5211.7,1,1.0,0.0,0.0,0.0006245833455489347,0.9786145508908556,1.02562967859967
2012-08-21,5421.0,0.010193279783719644,5375.7,5218.752998046875,1,1.0,0.0,0.0,0.010193279783719644,0.9885898428085053,1.0360842088681228
2012-08-22,5412.85009765625,-0.0015033946400572207,5388.6900390625,5225.927998046875,1,1.0,0.0,0.0,-0.0015033946400572207,0.987103602137612,1.0345265654218625
2012-08-23,5415.35009765625,0.00046186388961388936,5395.6900390625,5231.917001953125,1,1.0,0.0,0.0,0.00046186388961388936,0.9875595096467471,1.0350043758852772
2012-08-24,5386.7001953125,-0.0052904986431348,5400.4400390625,5237.222001953125,1,1.0,0.0,0.0,-0.0052904986431348,0.9823348274009461,1.0295286866390174
2012-08-27,5350.25,-0.006766702060793883,5397.230078125,5243.132001953125,1,1.0,0.0,0.0,-0.006766702060793883,0.9756876602999826,1.0225621727534908
2012-08-29,5287.7998046875,-0.011672388264567068,5370.5900390625,5246.107001953125,1,1.0,0.0,0.0,-0.011672388264567068,0.9642990551040141,1.0106264300484529
2012-08-30,5315.0498046875,0.00515337210305189,5351.02998046875,5251.122998046875,1,1.0,0.0,0.0,0.00515337210305189,0.9692684469535865,1.0158345640996715
2012-08-31,5258.5,-0.010639562518798384,5319.6599609375,5254.21599609375,1,1.0,0.0,0.0,-0.010639562518798384,0.9589558547147252,1.0050265287461768
2012-09-03,5253.75,-0.0009032994199866806,5293.069921875,5256.88,1,1.0,0.0,0.0,-0.0009032994199866806,0.9580896304473686,1.0041186888656892
2012-09-04,5274.0,0.003854389721627438,5277.819921875,5259.06,1,1.0,0.0,0.0,0.003854389721627438,0.9617824812713628,1.0079889536193471
2012-09-05,5225.7001953125,-0.00915809721037164,5265.4,5260.6530078125,1,1.0,0.0,0.0,-0.00915809721037164,0.9529743838126472,0.9987576927951204
2012-09-06,5238.39990234375,0.0024302402657239153,5250.07001953125,5263.1280078125,0,1.0,0.0,0.0,0.0024302402657239153,0.9552903405323921,1.0011849139558526
2012-09-07,5342.10009765625,0.01979615860677275,5266.7900390625,5267.554013671875,0,0.0,1.0,0.0005,-0.0005,0.954812695362126,1.0210045293072307
2012-09-10,5363.4501953125,0.0039965738690701524,5288.730078125,5271.98501953125,1,0.0,0.0,0.0,0.0,0.954812695362126,1.0250850493292623
2012-09-11,5390.0,0.00495013540178002,5311.930078125,5276.802021484375,1,1.0,1.0,0.0005,0.00445013540178002,0.959061741139826,1.0301593591217824
2012-09-12,5431.0,0.007606679035250474,5352.9900390625,5279.8440234375,1,1.0,0.0,0.0,0.007606679035250474,0.9663570159796652,1.037995450721781
2012-09-13,5435.35009765625,0.0008009754476616671,5392.380078125,5282.9790234375,1,1.0,0.0,0.0,0.0008009754476616671,0.9671310442231404,1.0388268595925936
2012-09-14,5577.64990234375,0.026180430355141393,5439.4900390625,5288.773017578125,1,1.0,0.0,0.0,0.026180430355141393,0.9924509511707196,1.0660237938412078
2012-09-17,5610.0,0.005799951273861126,5488.8,5294.922021484375,1,1.0,0.0,0.0,0.005799951273861126,0.9982071183292068,1.0722066799022634
2012-09-18,5600.0498046875,-0.0017736533533868615,5530.8099609375,5300.377021484375,1,1.0,0.0,0.0,-0.0017736533533868615,0.9964366449264076,1.070304956928931
2012-09-20,5554.25,-0.008178463814583092,5555.4599609375,5305.123017578125,1,1.0,0.0,0.0,-0.008178463814583092,0.9882873238823524,1.0615515065681187
2012-09-21,5691.14990234375,0.024647774648917542,5606.619921875,5313.443017578125,1,1.0,0.0,0.0,0.024647774648917542,1.0126464071297865,1.0877163888802286
